,filename,actor_id,statement,emotion,intensity,gender,balanced
0,1022_ITS_ANG_XX.wav,1022,ITS,ANG,XX.wav,Male,Male_ITS_ANG_XX.wav
1,1037_ITS_ANG_XX.wav,1037,ITS,ANG,XX.wav,Female,Female_ITS_ANG_XX.wav
2,1060_ITS_NEU_XX.wav,1060,ITS,NEU,XX.wav,Female,Female_ITS_NEU_XX.wav
3,1075_ITS_NEU_XX.wav,1075,ITS,NEU,XX.wav,Female,Female_ITS_NEU_XX.wav
4,1073_IOM_DIS_XX.wav,1073,IOM,DIS,XX.wav,Female,Female_IOM_DIS_XX.wav
5,1066_IOM_DIS_XX.wav,1066,IOM,DIS,XX.wav,Male,Male_IOM_DIS_XX.wav
6,1078_IWL_SAD_XX.wav,1078,IWL,SAD,XX.wav,Female,Female_IWL_SAD_XX.wav
7,1029_TAI_FEA_XX.wav,1029,TAI,FEA,XX.wav,Female,Female_TAI_FEA_XX.wav
8,1039_IEO_SAD_MD.wav,1039,IEO,SAD,MD.wav,Male,Male_IEO_SAD_MD.wav
9,1008_TAI_HAP_XX.wav,1008,TAI,HAP,XX.wav,Female,Female_TAI_HAP_XX.wav
10,1018_TSI_FEA_XX.wav,1018,TSI,FEA,XX.wav,Female,Female_TSI_FEA_XX.wav
11,1028_IEO_SAD_HI.wav,1028,IEO,SAD,HI.wav,Female,Female_IEO_SAD_HI.wav
12,1039_TSI_HAP_XX.wav,1039,TSI,HAP,XX.wav,Male,Male_TSI_HAP_XX.wav
13,1064_ITS_HAP_XX.wav,1064,ITS,HAP,XX.wav,Male,Male_ITS_HAP_XX.wav
14,1071_ITS_HAP_XX.wav,1071,ITS,HAP,XX.wav,Male,Male_ITS_HAP_XX.wav
15,1045_ITS_FEA_XX.wav,1045,ITS,FEA,XX.wav,Male,Male_ITS_FEA_XX.wav
16,1050_ITS_FEA_XX.wav,1050,ITS,FEA,XX.wav,Male,Male_ITS_FEA_XX.wav
17,1018_IWL_ANG_XX.wav,1018,IWL,ANG,XX.wav,Female,Female_IWL_ANG_XX.wav
18,1059_IEO_ANG_MD.wav,1059,IEO,ANG,MD.wav,Male,Male_IEO_ANG_MD.wav
19,1054_MTI_DIS_XX.wav,1054,MTI,DIS,XX.wav,Female,Female_MTI_DIS_XX.wav
20,1041_MTI_DIS_XX.wav,1041,MTI,DIS,XX.wav,Male,Male_MTI_DIS_XX.wav
21,1048_IEO_ANG_HI.wav,1048,IEO,ANG,HI.wav,Male,Male_IEO_ANG_HI.wav
22,1042_ITS_SAD_XX.wav,1042,ITS,SAD,XX.wav,Male,Male_ITS_SAD_XX.wav
23,1019_TAI_NEU_XX.wav,1019,TAI,NEU,XX.wav,Male,Male_TAI_NEU_XX.wav
24,1057_ITS_SAD_XX.wav,1057,ITS,SAD,XX.wav,Male,Male_ITS_SAD_XX.wav
25,1028_TSI_NEU_XX.wav,1028,TSI,NEU,XX.wav,Female,Female_TSI_NEU_XX.wav
26,1087_IOM_ANG_XX.wav,1087,IOM,ANG,XX.wav,Male,Male_IOM_ANG_XX.wav
27,1039_IEO_HAP_LO.wav,1039,IEO,HAP,LO.wav,Male,Male_IEO_HAP_LO.wav
28,1018_IEO_FEA_LO.wav,1018,IEO,FEA,LO.wav,Female,Female_IEO_FEA_LO.wav
29,1079_DFA_NEU_XX.wav,1079,DFA,NEU,XX.wav,Female,Female_DFA_NEU_XX.wav
30,1063_IWW_DIS_XX.wav,1063,IWW,DIS,XX.wav,Female,Female_IWW_DIS_XX.wav
31,1076_IWW_DIS_XX.wav,1076,IWW,DIS,XX.wav,Female,Female_IWW_DIS_XX.wav
32,1068_WSI_HAP_XX.wav,1068,WSI,HAP,XX.wav,Male,Male_WSI_HAP_XX.wav
33,1049_WSI_FEA_XX.wav,1049,WSI,FEA,XX.wav,Female,Female_WSI_FEA_XX.wav
34,1059_ITH_DIS_XX.wav,1059,ITH,DIS,XX.wav,Male,Male_ITH_DIS_XX.wav
35,1068_DFA_HAP_XX.wav,1068,DFA,HAP,XX.wav,Male,Male_DFA_HAP_XX.wav
36,1049_DFA_FEA_XX.wav,1049,DFA,FEA,XX.wav,Female,Female_DFA_FEA_XX.wav
37,1079_WSI_NEU_XX.wav,1079,WSI,NEU,XX.wav,Female,Female_WSI_NEU_XX.wav
38,1082_IWW_ANG_XX.wav,1082,IWW,ANG,XX.wav,Female,Female_IWW_ANG_XX.wav
39,1061_ITH_NEU_XX.wav,1061,ITH,NEU,XX.wav,Female,Female_ITH_NEU_XX.wav
40,1074_ITH_NEU_XX.wav,1074,ITH,NEU,XX.wav,Female,Female_ITH_NEU_XX.wav
41,1023_ITH_ANG_XX.wav,1023,ITH,ANG,XX.wav,Male,Male_ITH_ANG_XX.wav
42,1036_ITH_ANG_XX.wav,1036,ITH,ANG,XX.wav,Male,Male_ITH_ANG_XX.wav
43,1005_IEO_DIS_LO.wav,1005,IEO,DIS,LO.wav,Male,Male_IEO_DIS_LO.wav
44,1010_IEO_DIS_LO.wav,1010,IEO,DIS,LO.wav,Female,Female_IEO_DIS_LO.wav
45,1084_IEO_SAD_LO.wav,1084,IEO,SAD,LO.wav,Female,Female_IEO_SAD_LO.wav
46,1091_IEO_SAD_LO.wav,1091,IEO,SAD,LO.wav,Female,Female_IEO_SAD_LO.wav
47,1076_TIE_HAP_XX.wav,1076,TIE,HAP,XX.wav,Female,Female_TIE_HAP_XX.wav
48,1063_TIE_HAP_XX.wav,1063,TIE,HAP,XX.wav,Female,Female_TIE_HAP_XX.wav
49,1057_TIE_FEA_XX.wav,1057,TIE,FEA,XX.wav,Male,Male_TIE_FEA_XX.wav
50,1042_TIE_FEA_XX.wav,1042,TIE,FEA,XX.wav,Male,Male_TIE_FEA_XX.wav
51,1079_IWW_SAD_XX.wav,1079,IWW,SAD,XX.wav,Female,Female_IWW_SAD_XX.wav
52,1041_WSI_DIS_XX.wav,1041,WSI,DIS,XX.wav,Male,Male_WSI_DIS_XX.wav
53,1050_TIE_SAD_XX.wav,1050,TIE,SAD,XX.wav,Male,Male_TIE_SAD_XX.wav
54,1054_WSI_DIS_XX.wav,1054,WSI,DIS,XX.wav,Female,Female_WSI_DIS_XX.wav
55,1045_TIE_SAD_XX.wav,1045,TIE,SAD,XX.wav,Male,Male_TIE_SAD_XX.wav
56,1083_IEO_FEA_LO.wav,1083,IEO,FEA,LO.wav,Male,Male_IEO_FEA_LO.wav
57,1019_IWW_ANG_XX.wav,1019,IWW,ANG,XX.wav,Male,Male_IWW_ANG_XX.wav
58,1044_ITH_FEA_XX.wav,1044,ITH,FEA,XX.wav,Male,Male_ITH_FEA_XX.wav
59,1051_ITH_FEA_XX.wav,1051,ITH,FEA,XX.wav,Male,Male_ITH_FEA_XX.wav
60,1065_ITH_HAP_XX.wav,1065,ITH,HAP,XX.wav,Male,Male_ITH_HAP_XX.wav
61,1054_DFA_DIS_XX.wav,1054,DFA,DIS,XX.wav,Female,Female_DFA_DIS_XX.wav
62,1041_DFA_DIS_XX.wav,1041,DFA,DIS,XX.wav,Male,Male_DFA_DIS_XX.wav
63,1070_ITH_HAP_XX.wav,1070,ITH,HAP,XX.wav,Male,Male_ITH_HAP_XX.wav
64,1072_TIE_NEU_XX.wav,1072,TIE,NEU,XX.wav,Female,Female_TIE_NEU_XX.wav
65,1067_TIE_NEU_XX.wav,1067,TIE,NEU,XX.wav,Male,Male_TIE_NEU_XX.wav
66,1030_TIE_ANG_XX.wav,1030,TIE,ANG,XX.wav,Female,Female_TIE_ANG_XX.wav
67,1025_TIE_ANG_XX.wav,1025,TIE,ANG,XX.wav,Female,Female_TIE_ANG_XX.wav
68,1043_ITH_SAD_XX.wav,1043,ITH,SAD,XX.wav,Female,Female_ITH_SAD_XX.wav
69,1056_ITH_SAD_XX.wav,1056,ITH,SAD,XX.wav,Female,Female_ITH_SAD_XX.wav
70,1050_IEO_NEU_XX.wav,1050,IEO,NEU,XX.wav,Male,Male_IEO_NEU_XX.wav
71,1045_IEO_NEU_XX.wav,1045,IEO,NEU,XX.wav,Male,Male_IEO_NEU_XX.wav
72,1079_MTI_NEU_XX.wav,1079,MTI,NEU,XX.wav,Female,Female_MTI_NEU_XX.wav
73,1086_TAI_HAP_XX.wav,1086,TAI,HAP,XX.wav,Male,Male_TAI_HAP_XX.wav
74,1027_IEO_DIS_HI.wav,1027,IEO,DIS,HI.wav,Male,Male_IEO_DIS_HI.wav
75,1032_IEO_DIS_HI.wav,1032,IEO,DIS,HI.wav,Male,Male_IEO_DIS_HI.wav
76,1062_IWL_DIS_XX.wav,1062,IWL,DIS,XX.wav,Male,Male_IWL_DIS_XX.wav
77,1077_IWL_DIS_XX.wav,1077,IWL,DIS,XX.wav,Male,Male_IWL_DIS_XX.wav
78,1036_IEO_DIS_MD.wav,1036,IEO,DIS,MD.wav,Male,Male_IEO_DIS_MD.wav
79,1083_TSI_FEA_XX.wav,1083,TSI,FEA,XX.wav,Male,Male_TSI_FEA_XX.wav
80,1023_IEO_DIS_MD.wav,1023,IEO,DIS,MD.wav,Male,Male_IEO_DIS_MD.wav
81,1005_TSI_DIS_XX.wav,1005,TSI,DIS,XX.wav,Male,Male_TSI_DIS_XX.wav
82,1010_TSI_DIS_XX.wav,1010,TSI,DIS,XX.wav,Female,Female_TSI_DIS_XX.wav
83,1091_IEO_HAP_MD.wav,1091,IEO,HAP,MD.wav,Female,Female_IEO_HAP_MD.wav
84,1084_IEO_HAP_MD.wav,1084,IEO,HAP,MD.wav,Female,Female_IEO_HAP_MD.wav
85,1034_TAI_DIS_XX.wav,1034,TAI,DIS,XX.wav,Male,Male_TAI_DIS_XX.wav
86,1021_TAI_DIS_XX.wav,1021,TAI,DIS,XX.wav,Female,Female_TAI_DIS_XX.wav
87,1084_TSI_SAD_XX.wav,1084,TSI,SAD,XX.wav,Female,Female_TSI_SAD_XX.wav
88,1080_IEO_HAP_HI.wav,1080,IEO,HAP,HI.wav,Male,Male_IEO_HAP_HI.wav
89,1069_IOM_SAD_XX.wav,1069,IOM,SAD,XX.wav,Male,Male_IOM_SAD_XX.wav
90,1091_TSI_SAD_XX.wav,1091,TSI,SAD,XX.wav,Female,Female_TSI_SAD_XX.wav
91,1082_TAI_NEU_XX.wav,1082,TAI,NEU,XX.wav,Female,Female_TAI_NEU_XX.wav
92,1049_MTI_FEA_XX.wav,1049,MTI,FEA,XX.wav,Female,Female_MTI_FEA_XX.wav
93,1068_MTI_HAP_XX.wav,1068,MTI,HAP,XX.wav,Male,Male_MTI_HAP_XX.wav
94,1009_IOM_ANG_XX.wav,1009,IOM,ANG,XX.wav,Female,Female_IOM_ANG_XX.wav
95,1058_ITS_DIS_XX.wav,1058,ITS,DIS,XX.wav,Female,Female_ITS_DIS_XX.wav
96,1083_IWL_ANG_XX.wav,1083,IWL,ANG,XX.wav,Male,Male_IWL_ANG_XX.wav
97,1079_TAI_HAP_XX.wav,1079,TAI,HAP,XX.wav,Female,Female_TAI_HAP_XX.wav
98,1048_IEO_SAD_MD.wav,1048,IEO,SAD,MD.wav,Male,Male_IEO_SAD_MD.wav
99,1009_IWL_SAD_XX.wav,1009,IWL,SAD,XX.wav,Female,Female_IWL_SAD_XX.wav
100,1058_TAI_FEA_XX.wav,1058,TAI,FEA,XX.wav,Female,Female_TAI_FEA_XX.wav
101,1086_MTI_NEU_XX.wav,1086,MTI,NEU,XX.wav,Male,Male_MTI_NEU_XX.wav
102,1088_IWL_DIS_XX.wav,1088,IWL,DIS,XX.wav,Male,Male_IWL_DIS_XX.wav
103,1048_TSI_HAP_XX.wav,1048,TSI,HAP,XX.wav,Male,Male_TSI_HAP_XX.wav
104,1059_IEO_SAD_HI.wav,1059,IEO,SAD,HI.wav,Male,Male_IEO_SAD_HI.wav
105,1069_TSI_FEA_XX.wav,1069,TSI,FEA,XX.wav,Male,Male_TSI_FEA_XX.wav
106,1091_IOM_FEA_XX.wav,1091,IOM,FEA,XX.wav,Female,Female_IOM_FEA_XX.wav
107,1084_IOM_FEA_XX.wav,1084,IOM,FEA,XX.wav,Female,Female_IOM_FEA_XX.wav
108,1046_ITS_ANG_XX.wav,1046,ITS,ANG,XX.wav,Female,Female_ITS_ANG_XX.wav
109,1053_ITS_ANG_XX.wav,1053,ITS,ANG,XX.wav,Female,Female_ITS_ANG_XX.wav
110,1017_IOM_DIS_XX.wav,1017,IOM,DIS,XX.wav,Male,Male_IOM_DIS_XX.wav
111,1002_IOM_DIS_XX.wav,1002,IOM,DIS,XX.wav,Female,Female_IOM_DIS_XX.wav
112,1004_ITS_NEU_XX.wav,1004,ITS,NEU,XX.wav,Female,Female_ITS_NEU_XX.wav
113,1011_ITS_NEU_XX.wav,1011,ITS,NEU,XX.wav,Male,Male_ITS_NEU_XX.wav
114,1083_IOM_SAD_XX.wav,1083,IOM,SAD,XX.wav,Male,Male_IOM_SAD_XX.wav
115,1082_MTI_HAP_XX.wav,1082,MTI,HAP,XX.wav,Female,Female_MTI_HAP_XX.wav
116,1026_ITS_SAD_XX.wav,1026,ITS,SAD,XX.wav,Male,Male_ITS_SAD_XX.wav
117,1033_ITS_SAD_XX.wav,1033,ITS,SAD,XX.wav,Male,Male_ITS_SAD_XX.wav
118,1068_TAI_NEU_XX.wav,1068,TAI,NEU,XX.wav,Male,Male_TAI_NEU_XX.wav
119,1059_TSI_NEU_XX.wav,1059,TSI,NEU,XX.wav,Male,Male_TSI_NEU_XX.wav
120,1021_ITS_FEA_XX.wav,1021,ITS,FEA,XX.wav,Female,Female_ITS_FEA_XX.wav
121,1034_ITS_FEA_XX.wav,1034,ITS,FEA,XX.wav,Male,Male_ITS_FEA_XX.wav
122,1015_ITS_HAP_XX.wav,1015,ITS,HAP,XX.wav,Male,Male_ITS_HAP_XX.wav
123,1028_IEO_ANG_MD.wav,1028,IEO,ANG,MD.wav,Female,Female_IEO_ANG_MD.wav
124,1069_IWL_ANG_XX.wav,1069,IWL,ANG,XX.wav,Male,Male_IWL_ANG_XX.wav
125,1039_IEO_ANG_HI.wav,1039,IEO,ANG,HI.wav,Male,Male_IEO_ANG_HI.wav
126,1030_MTI_DIS_XX.wav,1030,MTI,DIS,XX.wav,Female,Female_MTI_DIS_XX.wav
127,1025_MTI_DIS_XX.wav,1025,MTI,DIS,XX.wav,Female,Female_MTI_DIS_XX.wav
128,1038_WSI_FEA_XX.wav,1038,WSI,FEA,XX.wav,Male,Male_WSI_FEA_XX.wav
129,1081_IWW_FEA_XX.wav,1081,IWW,FEA,XX.wav,Male,Male_IWW_FEA_XX.wav
130,1019_WSI_HAP_XX.wav,1019,WSI,HAP,XX.wav,Male,Male_WSI_HAP_XX.wav
131,1089_TIE_HAP_XX.wav,1089,TIE,HAP,XX.wav,Female,Female_TIE_HAP_XX.wav
132,1086_IWW_SAD_XX.wav,1086,IWW,SAD,XX.wav,Male,Male_IWW_SAD_XX.wav
133,1069_IEO_FEA_LO.wav,1069,IEO,FEA,LO.wav,Male,Male_IEO_FEA_LO.wav
134,1048_IEO_HAP_LO.wav,1048,IEO,HAP,LO.wav,Male,Male_IEO_HAP_LO.wav
135,1007_IWW_DIS_XX.wav,1007,IWW,DIS,XX.wav,Female,Female_IWW_DIS_XX.wav
136,1012_IWW_DIS_XX.wav,1012,IWW,DIS,XX.wav,Female,Female_IWW_DIS_XX.wav
137,1008_DFA_NEU_XX.wav,1008,DFA,NEU,XX.wav,Female,Female_DFA_NEU_XX.wav
138,1038_DFA_FEA_XX.wav,1038,DFA,FEA,XX.wav,Male,Male_DFA_FEA_XX.wav
139,1028_ITH_DIS_XX.wav,1028,ITH,DIS,XX.wav,Female,Female_ITH_DIS_XX.wav
140,1019_DFA_HAP_XX.wav,1019,DFA,HAP,XX.wav,Male,Male_DFA_HAP_XX.wav
141,1008_IWW_SAD_XX.wav,1008,IWW,SAD,XX.wav,Female,Female_IWW_SAD_XX.wav
142,1025_WSI_DIS_XX.wav,1025,WSI,DIS,XX.wav,Female,Female_WSI_DIS_XX.wav
143,1034_TIE_SAD_XX.wav,1034,TIE,SAD,XX.wav,Male,Male_TIE_SAD_XX.wav
144,1030_WSI_DIS_XX.wav,1030,WSI,DIS,XX.wav,Female,Female_WSI_DIS_XX.wav
145,1021_TIE_SAD_XX.wav,1021,TIE,SAD,XX.wav,Female,Female_TIE_SAD_XX.wav
146,1086_DFA_NEU_XX.wav,1086,DFA,NEU,XX.wav,Male,Male_DFA_NEU_XX.wav
147,1089_IWW_DIS_XX.wav,1089,IWW,DIS,XX.wav,Female,Female_IWW_DIS_XX.wav
148,1082_WSI_HAP_XX.wav,1082,WSI,HAP,XX.wav,Female,Female_WSI_HAP_XX.wav
149,1005_ITH_NEU_XX.wav,1005,ITH,NEU,XX.wav,Male,Male_ITH_NEU_XX.wav
150,1010_ITH_NEU_XX.wav,1010,ITH,NEU,XX.wav,Female,Female_ITH_NEU_XX.wav
151,1061_IEO_DIS_LO.wav,1061,IEO,DIS,LO.wav,Female,Female_IEO_DIS_LO.wav
152,1074_IEO_DIS_LO.wav,1074,IEO,DIS,LO.wav,Female,Female_IEO_DIS_LO.wav
153,1047_ITH_ANG_XX.wav,1047,ITH,ANG,XX.wav,Female,Female_ITH_ANG_XX.wav
154,1052_ITH_ANG_XX.wav,1052,ITH,ANG,XX.wav,Female,Female_ITH_ANG_XX.wav
155,1033_TIE_FEA_XX.wav,1033,TIE,FEA,XX.wav,Male,Male_TIE_FEA_XX.wav
156,1026_TIE_FEA_XX.wav,1026,TIE,FEA,XX.wav,Male,Male_TIE_FEA_XX.wav
157,1012_TIE_HAP_XX.wav,1012,TIE,HAP,XX.wav,Female,Female_TIE_HAP_XX.wav
158,1007_TIE_HAP_XX.wav,1007,TIE,HAP,XX.wav,Female,Female_TIE_HAP_XX.wav
159,1027_ITH_SAD_XX.wav,1027,ITH,SAD,XX.wav,Male,Male_ITH_SAD_XX.wav
160,1032_ITH_SAD_XX.wav,1032,ITH,SAD,XX.wav,Male,Male_ITH_SAD_XX.wav
161,1034_IEO_NEU_XX.wav,1034,IEO,NEU,XX.wav,Male,Male_IEO_NEU_XX.wav
162,1021_IEO_NEU_XX.wav,1021,IEO,NEU,XX.wav,Female,Female_IEO_NEU_XX.wav
163,1082_DFA_HAP_XX.wav,1082,DFA,HAP,XX.wav,Female,Female_DFA_HAP_XX.wav
164,1080_IEO_ANG_LO.wav,1080,IEO,ANG,LO.wav,Male,Male_IEO_ANG_LO.wav
