,filename,emotion,Features
0,Crema/1043_IWL_FEA_XX.wav,FEA,"tensor([-0.0037, -0.0045, -0.0053,  ...,  0.0000,  0.0000,  0.0000])"
1,Crema/1047_MTI_DIS_XX.wav,DIS,"tensor([0.0192, 0.0179, 0.0176,  ..., 0.0000, 0.0000, 0.0000])"
2,Crema/1032_IWW_FEA_XX.wav,FEA,"tensor([ 0.0010, -0.0003,  0.0002,  ...,  0.0000,  0.0000,  0.0000])"
3,Crema/1016_IWW_SAD_XX.wav,SAD,"tensor([-1.9531e-03, -1.7395e-03, -1.7090e-03,  ...,  6.1035e-05,
        -3.0518e-05,  0.0000e+00])"
4,Crema/1070_IOM_NEU_XX.wav,NEU,"tensor([0.0016, 0.0020, 0.0022,  ..., 0.0000, 0.0000, 0.0000])"
5,Crema/1060_IEO_SAD_LO.wav,SAD,"tensor([-0.0035, -0.0042, -0.0051,  ..., -0.0004, -0.0004, -0.0004])"
6,Crema/1020_ITH_DIS_XX.wav,DIS,"tensor([ 1.2207e-03,  3.5095e-03,  3.6926e-03,  ..., -1.5259e-04,
        -6.1035e-05,  0.0000e+00])"
7,Crema/1053_DFA_ANG_XX.wav,ANG,"tensor([-0.0031, -0.0030, -0.0021,  ...,  0.0000,  0.0000,  0.0000])"
8,Crema/1085_MTI_SAD_XX.wav,SAD,"tensor([3.6621e-04, 6.7139e-04, 1.2207e-04,  ..., 0.0000e+00, 0.0000e+00,
        3.0518e-05])"
9,Crema/1014_ITS_NEU_XX.wav,NEU,"tensor([-0.0044, -0.0050, -0.0044,  ...,  0.0000,  0.0000,  0.0000])"
10,Crema/1043_IOM_HAP_XX.wav,HAP,"tensor([-9.2773e-03, -8.1787e-03, -8.6365e-03,  ..., -6.1035e-05,
        -3.0518e-05,  0.0000e+00])"
11,Crema/1081_IEO_HAP_MD.wav,HAP,"tensor([0.0016, 0.0019, 0.0016,  ..., 0.0003, 0.0002, 0.0003])"
12,Crema/1089_IOM_ANG_XX.wav,ANG,"tensor([-0.0015, -0.0014, -0.0015,  ...,  0.0000,  0.0000,  0.0000])"
13,Crema/1026_MTI_HAP_XX.wav,HAP,"tensor([-5.3711e-03, -7.3242e-03, -6.5002e-03,  ..., -6.1035e-05,
         0.0000e+00, -3.0518e-05])"
14,Crema/1028_ITS_SAD_XX.wav,SAD,"tensor([-0.0089, -0.0093, -0.0088,  ..., -0.0115, -0.0190, -0.0151])"
15,Crema/1002_MTI_DIS_XX.wav,DIS,"tensor([-7.0190e-04, -5.7983e-04, -8.8501e-04,  ..., -9.1553e-05,
        -3.0518e-05, -3.0518e-05])"
16,Crema/1051_MTI_FEA_XX.wav,FEA,"tensor([ 1.6479e-03,  7.0190e-04, -2.1362e-04,  ..., -6.1035e-05,
        -3.0518e-05,  0.0000e+00])"
17,Crema/1021_ITS_DIS_XX.wav,DIS,"tensor([0.0046, 0.0057, 0.0061,  ..., 0.0000, 0.0000, 0.0000])"
18,Crema/1033_ITS_FEA_XX.wav,FEA,"tensor([-0.0023, -0.0022, -0.0023,  ...,  0.0000,  0.0000,  0.0000])"
19,Crema/1045_WSI_SAD_XX.wav,SAD,"tensor([0.0049, 0.0046, 0.0057,  ..., 0.0000, 0.0000, 0.0000])"
20,Crema/1044_DFA_NEU_XX.wav,NEU,"tensor([0.0077, 0.0082, 0.0074,  ..., 0.0000, 0.0000, 0.0000])"
21,Crema/1063_MTI_ANG_XX.wav,ANG,"tensor([-0.0018, -0.0008, -0.0014,  ...,  0.0000,  0.0000,  0.0000])"
22,Crema/1087_TAI_FEA_XX.wav,FEA,"tensor([0.0019, 0.0020, 0.0021,  ..., 0.0000, 0.0000, 0.0000])"
23,Crema/1083_IWL_SAD_XX.wav,SAD,"tensor([0.0006, 0.0007, 0.0005,  ..., 0.0000, 0.0000, 0.0000])"
24,Crema/1007_IOM_ANG_XX.wav,ANG,"tensor([-0.0028, -0.0031, -0.0029,  ...,  0.0000,  0.0000,  0.0000])"
25,Crema/1027_TSI_SAD_XX.wav,SAD,"tensor([0.0031, 0.0032, 0.0031,  ..., 0.0000, 0.0002, 0.0003])"
26,Crema/1008_TSI_HAP_XX.wav,HAP,"tensor([-3.2043e-03, -4.0894e-03, -3.9368e-03,  ...,  2.4414e-04,
         1.5259e-04,  9.1553e-05])"
27,Crema/1069_WSI_DIS_XX.wav,DIS,"tensor([0.0034, 0.0022, 0.0019,  ..., 0.0000, 0.0000, 0.0000])"
28,Crema/1071_ITH_SAD_XX.wav,SAD,"tensor([ 1.7395e-03,  1.3428e-03, -9.1553e-05,  ...,  0.0000e+00,
         0.0000e+00,  0.0000e+00])"
29,Crema/1002_TSI_DIS_XX.wav,DIS,"tensor([-0.0032, -0.0038, -0.0039,  ...,  0.0000,  0.0000,  0.0000])"
30,Crema/1015_DFA_HAP_XX.wav,HAP,"tensor([-0.0095, -0.0111, -0.0105,  ...,  0.0000,  0.0000,  0.0000])"
31,Crema/1009_ITS_SAD_XX.wav,SAD,"tensor([ 0.0004,  0.0003,  0.0012,  ...,  0.0001, -0.0002,  0.0000])"
32,Crema/1071_IEO_DIS_MD.wav,DIS,"tensor([ 0.0003, -0.0013, -0.0022,  ...,  0.0002,  0.0002,  0.0001])"
33,Crema/1005_ITH_HAP_XX.wav,HAP,"tensor([-1.3428e-03, -3.3569e-04,  1.8311e-04,  ...,  0.0000e+00,
         3.0518e-05,  6.1035e-05])"
34,Crema/1060_ITS_FEA_XX.wav,FEA,"tensor([ 9.1553e-04,  1.4954e-03,  1.1902e-03,  ...,  0.0000e+00,
        -3.0518e-05, -3.0518e-05])"
35,Crema/1034_IEO_SAD_HI.wav,SAD,"tensor([-0.0020, -0.0033, -0.0039,  ...,  0.0000,  0.0000,  0.0000])"
36,Crema/1076_DFA_HAP_XX.wav,HAP,"tensor([0.0065, 0.0066, 0.0064,  ..., 0.0000, 0.0000, 0.0000])"
37,Crema/1026_TAI_NEU_XX.wav,NEU,"tensor([-0.0115, -0.0114, -0.0099,  ..., -0.0005, -0.0004, -0.0003])"
38,Crema/1088_MTI_NEU_XX.wav,NEU,"tensor([0.0025, 0.0019, 0.0016,  ..., 0.0000, 0.0000, 0.0000])"
39,Crema/1089_TIE_ANG_XX.wav,ANG,"tensor([-0.0005, -0.0009, -0.0010,  ...,  0.0000,  0.0000,  0.0000])"
40,Crema/1018_ITH_DIS_XX.wav,DIS,"tensor([0.0084, 0.0077, 0.0070,  ..., 0.0000, 0.0000, 0.0000])"
41,Crema/1041_IEO_SAD_HI.wav,SAD,"tensor([0.0016, 0.0022, 0.0032,  ..., 0.0000, 0.0000, 0.0000])"
42,Crema/1069_IWW_ANG_XX.wav,ANG,"tensor([ 0.0010,  0.0008,  0.0020,  ..., -0.0005, -0.0005, -0.0006])"
43,Crema/1028_TSI_HAP_XX.wav,HAP,"tensor([-6.1340e-03, -6.8970e-03, -8.4229e-03,  ..., -3.0518e-05,
         0.0000e+00,  0.0000e+00])"
44,Crema/1003_DFA_ANG_XX.wav,ANG,"tensor([-0.0077, -0.0083, -0.0088,  ...,  0.0000,  0.0000,  0.0000])"
45,Crema/1090_IEO_NEU_XX.wav,NEU,"tensor([-0.0035, -0.0040, -0.0035,  ...,  0.0000,  0.0000,  0.0000])"
46,Crema/1076_IEO_FEA_LO.wav,FEA,"tensor([-4.9133e-03, -4.5471e-03, -3.3875e-03,  ..., -3.0518e-05,
         0.0000e+00, -3.0518e-05])"
47,Crema/1006_WSI_NEU_XX.wav,NEU,"tensor([-0.0005, -0.0018, -0.0017,  ...,  0.0000,  0.0000,  0.0000])"
48,Crema/1020_WSI_FEA_XX.wav,FEA,"tensor([-4.6387e-03, -5.4016e-03, -4.4250e-03,  ...,  3.0518e-05,
         1.2207e-04, -6.1035e-05])"
49,Crema/1006_IEO_ANG_LO.wav,ANG,"tensor([0.0078, 0.0078, 0.0079,  ..., 0.0000, 0.0000, 0.0000])"
